,ASSETID,PERIOD,PRICE,UNITPRICE,ADTYPOLOGYID,ADOPERATIONID,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,LONGITUDE,LATITUDE,CITYNAME,ADTYPOLOGY,ADOPERATION
59721,A919948195714564252,201812,374000,6233.33333333333,HOME,SALE,60,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,1.0,1968,8,17,4.0,0,0,1,5.3891879601777735,0.3867265778017321,0.1010841088203727,-3.68813340051466,40.4635124983394,Madrid,HOME,SALE
32105,A12889388704641076327,201806,804000,4962.96296296296,HOME,SALE,162,7,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,4.0,1.0,1900,6,14,2.0,0,0,1,0.5599746767267373,0.1283999643817409,1.3598073644121749,-3.70940625921873,40.4192397808141,Madrid,HOME,SALE
70788,A10671846508774637354,201812,259000,3453.33333333333,HOME,SALE,75,3,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,,2.0,1.0,1995,7,22,5.0,0,0,1,5.786063634524489,0.5457972394190672,2.8046536871458,-3.72213703693243,40.4666563936345,Madrid,HOME,SALE
91291,A17286250571236997572,201803,164000,1561.90476190476,HOME,SALE,105,4,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,3.0,1.0,1965,3,7,7.0,0,0,1,7.047317185993632,0.3331852470360454,5.362635677674483,-3.6255360523076,40.4380213556374,Madrid,HOME,SALE
76964,A4415573889541147696,201812,147000,1884.61538461538,HOME,SALE,78,3,1,1,0,1,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,3.0,1.0,1960,6,22,6.0,0,1,0,3.824474518828328,0.2131314615070851,1.0067627826033976,-3.6991120547514,40.3824193611808,Madrid,HOME,SALE
37996,A10696519568672435466,201809,314000,3568.18181818182,HOME,SALE,88,2,1,1,1,0,3,0,0,30001,0,0,0,0,0,1,0,0,0,0,0,0,1970.0,2.0,1.0,1970,8,27,4.0,0,0,1,1.566477228908228,0.2455727573910634,0.0398264196470215,-3.69311248318587,40.4051043070637,Madrid,HOME,SALE
13641,A1376875651384657446,201803,465000,4043.47826086957,HOME,SALE,115,3,2,1,1,1,3,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1996.0,2.0,2.0,1996,5,25,4.0,0,0,1,8.244698910701189,0.1363586004424369,2.88230029559653,-3.71700617313934,40.4899674460272,Madrid,HOME,SALE
8413,A16542917259243643871,201803,845000,3673.91304347826,HOME,SALE,230,5,4,1,1,0,3,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,,1.0,1.0,1991,23,43,6.0,0,0,1,8.501008014286432,0.7976531862271882,2.049318647557543,-3.66059508679367,40.4855199071142,Madrid,HOME,SALE
64134,A14823489627374627295,201812,1304000,5645.02164502165,HOME,SALE,231,4,4,0,1,1,3,0,0,40001,0,1,0,0,1,1,0,1,0,0,0,0,1950.0,5.0,1.0,1950,7,21,4.0,0,0,1,2.233600356672755,0.295945040180428,2.147714100128268,-3.71607305780474,40.4343428494158,Madrid,HOME,SALE
42230,A13181319713089685516,201809,252000,3600.0,HOME,SALE,70,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,1.0,1975,6,20,6.0,0,1,0,4.234895739449184,0.3132241655202593,1.511459534181125,-3.67336386498828,40.4467706853566,Madrid,HOME,SALE
76043,A5745178122352468639,201812,137000,1876.71232876712,HOME,SALE,73,3,1,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,1.0,1.0,1972,4,61,5.0,0,0,1,5.753944966799847,0.6733079009139169,4.651018970598074,-3.7464876710792,40.3764114774927,Madrid,HOME,SALE
23352,A6825548001702608988,201812,249000,3890.625,HOME,SALE,64,2,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1948.0,4.0,1.0,1948,5,7,6.0,0,1,0,3.7459302857508567,0.1357377743131943,2.189038966817886,-3.66310237972288,40.4297398896707,Madrid,HOME,SALE
